GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
425500470,SushiGo,3,GAME_OVER,60,0,2,370,SushigoAgentBKP,37.0,47.0,RandomPlayer,2,SushigoAgentBKP,2,1,1,RandomPlayer,RandomPlayer,SushigoAgentBKP,0
336000187,SushiGo,3,GAME_OVER,60,0,2,371,Basic MCTS,35.0,82.0,SushigoAgentBKP,2,Basic MCTS,2,1,1,SushigoAgentBKP,SushigoAgentBKP,Basic MCTS,0
728786988,SushiGo,3,GAME_OVER,60,0,2,372,RandomPlayer,56.0,40.0,Basic MCTS,1,RandomPlayer,1,2,2,Basic MCTS,Basic MCTS,RandomPlayer,1
1197075173,SushiGo,3,GAME_OVER,61,0,2,373,RandomPlayer,51.0,48.0,SushigoAgentBKP,1,RandomPlayer,1,2,2,SushigoAgentBKP,SushigoAgentBKP,RandomPlayer,1
904239831,SushiGo,3,GAME_OVER,60,0,2,374,RandomPlayer,56.0,39.0,Basic MCTS,1,RandomPlayer,1,2,2,Basic MCTS,Basic MCTS,RandomPlayer,1
376172960,SushiGo,3,GAME_OVER,60,0,2,375,SushigoAgentBKP,65.0,45.0,Basic MCTS,1,SushigoAgentBKP,1,2,2,Basic MCTS,Basic MCTS,SushigoAgentBKP,1
-2025988394,SushiGo,3,GAME_OVER,60,0,2,376,SushigoAgentBKP,57.0,43.0,RandomPlayer,1,SushigoAgentBKP,1,2,2,RandomPlayer,RandomPlayer,SushigoAgentBKP,1
406134755,SushiGo,3,GAME_OVER,61,0,2,377,Basic MCTS,42.0,67.0,SushigoAgentBKP,2,Basic MCTS,2,1,1,SushigoAgentBKP,SushigoAgentBKP,Basic MCTS,0
-1086676947,SushiGo,3,GAME_OVER,61,0,2,378,RandomPlayer,51.0,52.0,SushigoAgentBKP,2,RandomPlayer,2,1,1,SushigoAgentBKP,SushigoAgentBKP,RandomPlayer,0
120009625,SushiGo,3,GAME_OVER,65,0,2,379,Basic MCTS,49.0,72.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
